Code,Name,Sector,Industry
QQQ,Invesco納斯達克100指數ETF,,
SPY,SPDR標準普爾500指數ETF,,
VTI,,,
TQQQ,,,
VT,,,
VEA,,,
BND,,,
DIA,SPDR道瓊工業平均指數ETF,,
IJH,iShares核心標普中型股指數ETF,,
IJR,iShares核心標普小型股指數ETF,,
IWB,iShares羅素1000 ETF,,
IWM,iShares羅素2000 ETF,,
IWV,iShares羅素3000 ETF,,
RSP, Invesco標普500平均加權指數ETF,,
TLT,,,
TMF,,,
CONL,CONL,,
CHAU,,,
CWEB,,,
DBC,,,
YINN,,,
YANG,,,
TNA,,,
SQQQ,,,
NVDL,,,
NVDY,,,
IWMY,,,
FXI,,,
IEI,,,
GLD,,,
USFR,,,
YMAX,,,
ULTY,,,
SPLG,,,
SCHG,,,
NVDD,,,
YMAG,,,
SOXX,,,
SOXL,,,
TSLY,,,
