/Users/gangtao.zhou/py_project/qute/mose/monitor/stock_manager.py:42: UserWarning: pandas only supports SQLAlchemy connectable (engine/connection) or database string URI or sqlite3 DBAPI2 connection. Other DBAPI2 objects are not tested. Please consider using SQLAlchemy.
  self.monitored_stocks = pd.read_sql_query(query, conn)
2025-04-21 13:34:28,883 - StockManager - INFO - 从数据库加载监控股票列表成功，共 10 只股票
2025-04-21 13:34:28,884 - monitor.stock_monitor - INFO - StockMonitor初始化完成，运行模式: dev
2025-04-21 13:34:28,884 - monitor.stock_monitor - INFO - 监控已启动
2025-04-21 13:34:28,884 - monitor.market_monitor - ERROR - 市场数据格式错误
2025-04-21 13:34:28,884 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 13:34:28,884 - monitor.market_monitor - 2025-04-21 17:23:22,747 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:23:22,750 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:24:22,749 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:25:22,773 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:26:22,777 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:27:22,779 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:28:22,783 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:28:23,646 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:29:22,786 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:30:22,788 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:31:22,792 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:32:22,796 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:33:22,800 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:33:23,711 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:34:22,801 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:35:22,804 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:36:22,807 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:37:22,807 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:38:22,806 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:38:23,902 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:39:22,806 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:40:22,853 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:41:22,858 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:42:22,862 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:43:22,896 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:43:24,003 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:44:22,897 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:45:22,900 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:46:22,902 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:47:22,906 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:48:22,910 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:48:24,303 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:49:22,915 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:50:22,919 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:51:22,922 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:52:22,926 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:53:22,926 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:53:25,003 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:54:22,928 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:55:22,930 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:56:22,931 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:57:22,935 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:58:22,936 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 17:58:25,859 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 17:59:22,937 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:00:22,941 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:01:22,944 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:02:22,945 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:03:22,949 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:03:26,587 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:04:22,953 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:05:22,956 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:06:22,957 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:07:22,957 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:08:22,958 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:08:27,409 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:09:22,962 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:10:22,967 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:11:22,971 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:12:22,975 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:13:22,976 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:13:28,403 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:14:22,980 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:15:22,983 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:16:22,984 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:17:22,984 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:18:22,989 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:18:29,097 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:19:22,991 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:20:22,992 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:21:22,999 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:22:23,000 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:23:23,007 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:23:29,328 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:24:23,014 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:25:23,019 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:26:23,024 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:27:23,027 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:28:23,032 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:28:29,853 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:29:23,040 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:30:23,043 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:31:23,044 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:32:23,044 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:33:23,049 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:33:30,680 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:34:23,061 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:35:23,062 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:36:23,064 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:37:23,066 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:38:23,066 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:38:31,416 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:39:23,067 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:40:23,071 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:41:23,074 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:42:23,078 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:43:23,079 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:43:32,242 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:44:23,080 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:45:23,084 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:46:23,087 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:47:23,089 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:48:23,089 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:48:32,987 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:49:23,091 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:50:23,095 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:51:23,097 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:52:23,102 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:53:23,107 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:53:33,977 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:54:23,110 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:55:23,114 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:56:23,320 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:57:23,323 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:58:23,330 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 18:58:34,064 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 18:59:23,333 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:00:23,336 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:01:23,341 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:02:23,352 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:03:23,360 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:03:34,374 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:04:23,369 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:05:23,379 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:06:23,384 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:07:23,387 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:08:23,398 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:08:35,170 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:09:23,406 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:10:23,413 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:11:23,419 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:12:23,430 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:13:23,433 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:13:35,808 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:14:23,438 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:15:23,444 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:16:23,451 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:17:23,456 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:18:23,458 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:18:36,641 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:19:23,464 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:20:23,471 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:21:23,471 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:22:23,435 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:23:23,436 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:23:37,335 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:24:23,443 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:25:23,445 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:26:23,446 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:27:23,451 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:28:23,452 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:28:38,325 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:29:23,455 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:30:23,462 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:31:23,470 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:32:23,475 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:33:23,477 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:33:38,469 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:34:23,483 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:35:23,488 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:36:23,494 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:37:23,497 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:38:23,499 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:38:39,142 - monitor.stock_monitor - ERROR - 执行监控失败: 'MarketMonitor' object has no attribute 'monitor_market'
2025-04-21 19:39:23,503 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:40:23,508 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:41:23,515 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:42:23,516 - monitor.stock_monitor - INFO - 警报已清除
2025-04-21 19:43:23,520 - monitor.stock_monitor - INFO - 警报已清除
